Time,Relative Humidity (%),Temperature (°F),CO2 Levels (ppm),Population Fouquieria columnaris,Population Vitis Arizonica
2025-03-23 00:34,83.78,75.96,299.13,98,102
2025-03-23 00:49,70.15,71.33,280.4,99,100
2025-03-23 01:04,66.52,82.55,349.85,101,97
2025-03-23 01:19,63.57,89.55,315.09,102,96
2025-03-23 01:34,68.77,97.98,258.35,102,96
2025-03-23 01:49,68.12,77.15,291.61,100,99
2025-03-23 02:04,64.58,93.16,369.45,102,95
2025-03-23 02:19,76.43,78.4,349.17,99,100
2025-03-23 02:34,81.04,70.56,258.52,98,102
2025-03-23 02:49,86.96,84.19,250.09,98,101
2025-03-23 03:04,81.65,80.3,365.03,99,101
2025-03-23 03:19,77.51,83.94,331.24,100,99
2025-03-23 03:34,71.2,88.25,258.45,101,98
2025-03-23 03:49,74.2,79.6,377.41,100,99
2025-03-23 04:04,61.74,60.51,370.29,100,100
2025-03-23 04:19,74.25,79.53,364.3,100,99
2025-03-23 04:34,81.77,84.82,331.77,99,100
2025-03-23 04:49,67.89,78.49,292.87,100,98
2025-03-23 05:04,70.43,89.94,319.59,101,97
2025-03-23 05:19,77.85,68.31,294.23,98,102
2025-03-23 05:34,89.3,83.76,250.69,98,102
2025-03-23 05:49,83.91,70.5,310.89,97,103
2025-03-23 06:04,60.98,84.22,366.78,102,96
2025-03-23 06:19,83.4,62.67,340.69,97,104
2025-03-23 06:34,64.23,66.35,289.79,100,99
2025-03-23 06:49,82.75,86.3,348.66,99,100
2025-03-23 07:04,83.58,95.76,351.03,100,99
2025-03-23 07:19,75.25,83.94,378.02,100,99
2025-03-23 07:34,61.49,78.77,383.19,101,97
2025-03-23 07:49,72.7,89.49,384.69,101,98
2025-03-23 08:04,82.22,72.3,369.11,98,102
2025-03-23 08:19,60.61,72.31,280.42,101,98
2025-03-23 08:34,84.44,70.27,319.12,97,103
2025-03-23 08:49,75.53,86.41,294.27,100,99
2025-03-23 09:04,86.12,68.05,374.09,97,104
2025-03-23 09:19,74.88,83.76,296.22,100,99
2025-03-23 09:34,78.86,72.52,385.05,98,101
2025-03-23 09:49,89.67,68.11,266.99,96,104
2025-03-23 10:04,74.67,94.31,358.29,101,97
2025-03-23 10:19,79.04,75.07,323.0,98,101
2025-03-23 10:34,79.27,77.58,263.59,99,101
2025-03-23 10:49,86.58,73.33,262.87,97,103
2025-03-23 11:04,75.01,68.0,316.75,98,101
2025-03-23 11:19,70.75,63.74,271.51,99,101
2025-03-23 11:34,71.07,80.58,278.75,100,99
2025-03-23 11:49,83.64,62.73,294.31,96,104
2025-03-23 12:04,74.56,99.87,381.89,102,96
2025-03-23 12:19,73.81,61.51,308.37,98,102
2025-03-23 12:34,89.03,62.41,348.65,96,105
