time,relative_humidity,temperature,co2_levels,population
2025-03-22 17:05:13,66.47,89.88,308.01,100.0
2025-03-22 17:20:13,80.3,65.58,254.2,100.0
2025-03-22 17:35:13,78.5,88.05,324.92,100.0
2025-03-22 17:50:13,68.61,95.55,300.31,100.0
2025-03-22 18:05:13,88.77,79.6,338.01,100.0
2025-03-22 18:20:13,78.06,63.13,325.08,100.0
2025-03-22 18:35:13,61.97,97.1,296.1,99.0
2025-03-22 18:50:13,83.97,76.41,343.93,100.0
2025-03-22 19:05:13,83.53,83.05,250.5,100.0
2025-03-22 19:20:13,67.27,96.87,324.35,100.0
2025-03-22 19:35:13,65.54,99.57,312.16,100.0
2025-03-22 19:50:13,66.11,90.69,358.91,100.0
2025-03-22 20:05:13,66.74,75.71,271.88,100.0
2025-03-22 20:20:13,64.48,84.14,253.52,100.0
2025-03-22 20:35:13,67.18,61.47,340.01,100.0
2025-03-22 20:50:13,88.09,89.24,339.82,100.0
2025-03-22 21:05:13,75.28,75.81,294.12,100.0
2025-03-22 21:20:13,62.27,93.56,270.24,100.0
2025-03-22 21:35:13,73.92,99.98,289.44,100.0
2025-03-22 21:50:13,74.08,81.01,270.95,100.0
2025-03-22 22:05:13,77.15,80.38,263.08,100.0
2025-03-22 22:20:13,62.03,65.86,257.26,100.0
2025-03-22 22:35:13,62.63,83.28,348.69,100.0
2025-03-22 22:50:13,75.65,85.17,359.15,100.0
2025-03-22 23:05:13,89.66,89.51,355.29,100.0
2025-03-22 23:20:13,89.95,60.31,316.6,100.0
2025-03-22 23:35:13,84.69,88.38,268.54,100.0
2025-03-22 23:50:13,60.26,89.24,340.16,100.0
2025-03-23 00:05:13,61.77,62.88,309.87,100.0
2025-03-23 00:20:13,88.47,70.77,379.32,100.0
2025-03-23 00:35:13,75.83,81.32,325.44,100.0
2025-03-23 00:50:13,71.91,62.26,256.89,100.0
2025-03-23 01:05:13,87.77,84.56,306.16,100.0
2025-03-23 01:20:13,75.76,87.45,378.94,100.0
2025-03-23 01:35:13,69.5,95.68,378.36,100.0
2025-03-23 01:50:13,78.38,98.24,337.25,100.0
2025-03-23 02:05:13,74.03,98.11,275.16,100.0
2025-03-23 02:20:13,82.0,65.4,292.15,100.0
2025-03-23 02:35:13,78.32,62.88,365.4,100.0
2025-03-23 02:50:13,83.48,92.06,381.03,100.0
2025-03-23 03:05:13,82.14,86.48,307.68,100.0
2025-03-23 03:20:13,73.74,80.14,306.57,100.0
2025-03-23 03:35:13,68.84,77.88,349.39,101.0
2025-03-23 03:50:13,82.15,67.64,273.1,101.0
2025-03-23 04:05:13,65.74,77.64,382.73,101.0
2025-03-23 04:20:13,74.73,76.4,375.17,101.0
2025-03-23 04:35:13,82.71,91.25,341.49,101.0
2025-03-23 04:50:13,65.08,78.38,333.75,100.0
2025-03-23 05:05:13,64.43,92.32,369.64,100.0
2025-03-23 05:20:13,72.55,86.22,353.57,100.0
2025-03-23 05:35:13,85.39,80.34,354.77,100.0
2025-03-23 05:50:13,81.65,61.7,284.86,100.0
2025-03-23 06:05:13,80.48,72.48,257.98,100.0
2025-03-23 06:20:13,61.34,71.26,368.83,100.0
2025-03-23 06:35:13,86.29,84.97,294.33,100.0
2025-03-23 06:50:13,88.91,71.44,350.36,100.0
2025-03-23 07:05:13,78.33,97.13,384.98,100.0
2025-03-23 07:20:13,66.7,90.58,384.09,100.0
2025-03-23 07:35:13,84.51,75.02,375.22,100.0
2025-03-23 07:50:13,89.87,69.22,385.25,100.0
2025-03-23 08:05:13,65.16,89.78,340.17,100.0
2025-03-23 08:20:13,81.57,64.12,320.56,100.0
2025-03-23 08:35:13,87.44,66.01,260.39,100.0
2025-03-23 08:50:13,75.37,66.16,276.8,100.0
2025-03-23 09:05:13,66.58,61.69,297.2,100.0
2025-03-23 09:20:13,77.68,67.61,357.24,100.0
2025-03-23 09:35:13,89.68,78.44,386.93,100.0
2025-03-23 09:50:13,69.69,75.65,361.36,100.0
2025-03-23 10:05:13,80.64,89.36,305.32,100.0
2025-03-23 10:20:13,73.09,90.26,379.17,100.0
2025-03-23 10:35:13,70.45,77.93,377.43,100.0
2025-03-23 10:50:13,87.36,99.27,375.51,101.0
2025-03-23 11:05:13,87.19,70.86,323.25,100.0
